"","bptf","cbfa2t3h","csf1r","dnmt3a","eif2b1","erg","ets1","ets2","etv6","fli1","gata1","gata2","gata3","gfi1","gfi1b","hhex","hoxa5","hoxa9","hoxb4","ikzf1","itga2b","kit","ldb1","lmo2","lyl1","mecom","meis1","mitf","mpl","myb","nfe2","nkx23","notch","pbx1","prdm16","procr","runx1","scl","sfpi1","sh2b3","smarcc1","tcf7","tet2","vwf"
"hsc34_277",0.599007030000003,14.8791936,-0.479289099999999,10.169183,13.74808015,1.97071988,3.9728687,2.28151186,1.20726777,0.22651067,12.847368825,5.34640729,13.217904125,0.975777790000002,3.00351451,7.40790603,14.03689202,7.17120838,14.638774655,-0.139196729999998,13.734283405,-0.3172873,1.96361286,2.00239277,-0.216992269999999,2.29657723,-1.37945997,13.62845664,11.91385479,0.82837666,0.0104283400000007,2.18531365,4.64766145,14.969034275,14.138817785,10.6322523855,5.53769168,14.708900125,1.50005556,4.73389371,1.65216583,13.013110955,2.30604092,13.028767495
"hsc34_278",-0.485500949999999,14.8791936,10.846834425,10.169183,1.79482389,0.208407050000002,2.88539751,14.33854771,2.44664266,-2.67537005,12.847368825,2.23699021,0.231658470000003,14.62068405,2.09978138,-0.68034965,14.03689202,1.86739945,0.755191500000002,15.060548205,1.6463992,-1.59634904,0.202696170000003,-2.20158766,-1.90998515,-1.37729469,-2.08438024,1.63619909,-3.41089575,1.27321852,1.50638632,0.63590572,5.58147074,0.440781650000002,14.138817785,1.52522675,4.62346766,0.604463490000001,-0.547418819999997,14.690264245,1.06935128,13.013110955,2.83727987,-1.88601925
"hsc34_279",1.175526275,1.211579125,10.846834425,1.041528365,3.255271265,2.030780125,4.588953535,14.33854771,2.435265915,-1.863000135,12.847368825,2.400748055,0.972897024999998,14.62068405,0.423408204999998,1.423632365,14.03689202,3.624766225,2.504224815,2.476419045,2.854577655,0.558247115,1.592896075,-0.0256217750000012,-1.003947235,1.517481895,-1.984557425,1.319192225,-2.236858725,3.434708205,-0.511132485000001,2.768228265,8.440306485,1.294026355,14.138817785,0.488883994999998,6.771207855,3.718582195,0.0903278149999984,14.690264245,2.028547675,13.013110955,1.961443505,-0.0483767750000013
"hsc34_280",0.38899352,14.8791936,10.846834425,-0.298179099999999,1.4726936,-0.0647611599999998,2.40108849,2.20092988,-0.0872281699999995,0.0935907500000006,12.847368825,3.07899709,-0.347307099999998,14.62068405,12.377589445,2.2247391,14.03689202,2.29466881,14.638774655,-0.123894489999998,13.734283405,-1.33482793,0.730941340000001,-1.26601696,-1.01751684,2.46743141,-1.66893414,2.30271853,11.91385479,-0.75421854,-1.10831987,12.727203855,15.288339,2.97241191,14.138817785,10.6322523855,5.81386957,0.755912480000003,1.1806121,14.690264245,0.69228356,13.013110955,1.62453751,13.028767495
"hsc34_281",-1.234109,1.64897602,10.846834425,2.09918614,2.37349208,-0.266086399999999,14.250761225,1.19397832,0.0505707200000032,-2.08405859,12.847368825,1.52199485,13.217904125,14.62068405,1.56463827,-0.155143689999999,14.03689202,13.99600288,14.638774655,1.94705392,13.734283405,0.390354990000002,1.93286799,-1.59013822,9.54331696,0.753090680000003,-2.59076267,13.62845664,-1.07382529,0.30974157,-0.739228839999999,2.36081848,15.288339,2.46826651,14.138817785,1.69926448,6.04290511,14.708900125,1.82695174,14.690264245,0.987584560000002,13.013110955,1.71270715,3.66972322
"hsc34_282",0.401351944999998,14.8791936,10.846834425,10.169183,2.176783505,0.800106664999998,5.962885635,1.836060395,0.423563004999998,-1.417889925,12.847368825,3.563226505,13.217904125,14.62068405,12.377589445,12.92443505,14.03689202,2.424231135,14.638774655,3.854576755,13.734283405,1.059475705,1.974944055,-1.865983615,-0.247389715000001,0.0993900449999998,-1.376060725,1.382755565,-1.901711795,2.978650135,1.299954865,-0.0588218349999998,15.288339,3.005497025,14.138817785,2.026985955,8.085803255,14.708900125,2.214152335,14.690264245,2.046886845,13.013110955,3.275969425,13.028767495
"hsc34_283",0.0874419900000021,1.98127869,10.846834425,0.778977800000003,2.28018075,0.903799750000001,14.250761225,1.68162783,-0.114245269999998,-1.20625301,12.847368825,1.21370253,0.24471321,2.04205792,12.377589445,12.92443505,14.03689202,2.12337733,14.638774655,0.524790410000001,13.734283405,0.234078310000001,2.70095241,-1.60275948,-1.5309014,-0.150566509999997,-2.3727207,0.612815070000003,-2.24743293,1.40788964,0.119406650000002,12.727203855,15.288339,1.87099947,14.138817785,2.08215641,6.02837594,0.644803850000002,3.2717841,14.690264245,0.916320320000001,13.013110955,13.93908965,-1.68654841
"hsc34_284",-0.425536260000001,-0.654638930000001,10.846834425,-0.211024460000001,13.74808015,-1.75883631,14.250761225,14.33854771,1.07217251,-2.71935242,12.847368825,1.02342008,13.217904125,14.62068405,-0.1516178,-0.374948960000001,7.44331118,1.36687543,14.638774655,0.601719060000001,13.734283405,-1.68978572,14.15837979,-0.99202554,-2.12554182,-1.07273612,-3.05008382,13.62845664,-2.49207434,-0.0604227299999991,-0.548324870000002,1.09258895,15.288339,0.20329267,14.138817785,1.08854284,6.42857038,14.708900125,0.90410567,14.690264245,-0.0702302299999999,13.013110955,13.93908965,13.028767495
"hsc34_285",-0.405999949999998,0.85373761,10.846834425,10.169183,2.03150333,-0.3052645,2.81824686,14.33854771,2.55192346,-1.0597393,12.847368825,1.96573691,13.217904125,14.62068405,12.377589445,12.92443505,14.03689202,8.80856901,14.638774655,1.35670336,13.734283405,-0.584696479999998,-0.75826056,-0.73112888,0.498852070000002,0.848727280000002,-3.09089783,13.62845664,-2.62983619,0.118774800000001,-0.32137444,1.58557777,15.288339,0.675648880000001,14.138817785,10.6322523855,6.52453964,5.15251667,1.02068888,14.690264245,1.58270039,13.013110955,2.70405696,0.23149518
"hsc34_286",-1.81752406,0.0708635500000021,10.846834425,-0.605736699999998,-0.197334299999998,0.846864440000001,14.250761225,14.33854771,0.0772496900000021,-2.72042328,12.847368825,0.68649155,13.217904125,14.62068405,0.142743630000002,-1.16798826,14.03689202,1.07324182,14.638774655,0.0617490499999995,13.734283405,-2.35114676,-0.940140029999998,-2.51789052,-1.49448995,-0.921030930000001,-3.05585473,13.62845664,-1.28494811,-0.892804309999999,-0.693536509999998,0.0393474100000013,7.20523127,1.95904095,14.138817785,1.1724303,5.21030504,0.464583080000001,-0.66273168,14.690264245,-0.367851269999999,13.013110955,0.496117680000001,13.028767495
